2025-01-31 19:15:23,497 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-12-2025/12 AM/DJI_0440.MP4
2025-01-31 19:15:28,722 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-12-2025/12 AM/DJI_0436.MP4
2025-01-31 19:15:34,002 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-12-2025/12 AM/DJI_0437.MP4
2025-01-31 19:15:52,819 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-12-2025/1 AM/DJI_0441.MP4
2025-01-31 19:15:59,836 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-12-2025/1 AM/DJI_0442.MP4
2025-01-31 19:16:10,503 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-12-2025/1 AM/DJI_0444.MP4
2025-01-31 19:17:16,262 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-16-2025/10 PM/DJI_0653.MP4
2025-01-31 19:17:45,426 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-17-2025/1 AM/DJI_0663.MP4
2025-01-31 19:17:53,300 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-17-2025/1 AM/DJI_0697.MP4
2025-01-31 19:18:02,995 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-17-2025/1 AM/DJI_0712-1.MP4
2025-01-31 19:18:14,828 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-17-2025/2 AM/DJI_0714.MP4
2025-01-31 19:18:37,050 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-17-2025/8 AM/DJI_0747-2.MP4
2025-01-31 19:18:46,572 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-17-2025/8 AM/DJI_0758.MP4
2025-01-31 19:18:51,941 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-17-2025/11 AM/DJI_0875.MP4
2025-01-31 19:19:18,938 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-17-2025/10 AM/DJI_0824.MP4
2025-01-31 19:19:23,419 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-17-2025/10 AM/DJI_0873.MP4
2025-01-31 19:19:37,313 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-11-2025/11 AM/IMG_0348.MOV
2025-01-31 19:19:45,961 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-11-2025/1 PM/DJI_0430.MP4
2025-01-31 19:19:51,014 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-11-2025/1 PM/DJI_0431.MP4
